Series ID,Series Title,Year,Period,Label,Value
TUU10101AA01000247,Avg hrs per day - Sleeping,2012,A01,2012 Annual,8.73
TUU10101AA01000247,Avg hrs per day - Sleeping,2013,A01,2013 Annual,8.74
TUU10101AA01000247,Avg hrs per day - Sleeping,2014,A01,2014 Annual,8.8
TUU10101AA01000247,Avg hrs per day - Sleeping,2015,A01,2015 Annual,8.83
TUU10101AA01000247,Avg hrs per day - Sleeping,2016,A01,2016 Annual,8.79
TUU10101AA01000247,Avg hrs per day - Sleeping,2017,A01,2017 Annual,8.8
TUU10101AA01000247,Avg hrs per day - Sleeping,2018,A01,2018 Annual,8.82
TUU10101AA01000247,Avg hrs per day - Sleeping,2019,A01,2019 Annual,8.84
TUU10101AA01000247,Avg hrs per day - Sleeping,2020,A01,2020 Annual,-
TUU10101AA01000247,Avg hrs per day - Sleeping,2021,A01,2021 Annual,8.95
TUU10101AA01000865,Avg hrs per day - Housework,2003,A01,2003 Annual,0.61
TUU10101AA01000865,Avg hrs per day - Housework,2004,A01,2004 Annual,0.59
TUU10101AA01000865,Avg hrs per day - Housework,2005,A01,2005 Annual,0.61
TUU10101AA01000865,Avg hrs per day - Housework,2006,A01,2006 Annual,0.61
TUU10101AA01000865,Avg hrs per day - Housework,2007,A01,2007 Annual,0.64
TUU10101AA01000865,Avg hrs per day - Housework,2008,A01,2008 Annual,0.58
TUU10101AA01000865,Avg hrs per day - Housework,2009,A01,2009 Annual,0.6
TUU10101AA01000865,Avg hrs per day - Housework,2010,A01,2010 Annual,0.57
TUU10101AA01000865,Avg hrs per day - Housework,2011,A01,2011 Annual,0.58
TUU10101AA01000865,Avg hrs per day - Housework,2012,A01,2012 Annual,0.6
TUU10101AA01000865,Avg hrs per day - Housework,2013,A01,2013 Annual,0.57
TUU10101AA01000865,Avg hrs per day - Housework,2014,A01,2014 Annual,0.55
TUU10101AA01000865,Avg hrs per day - Housework,2015,A01,2015 Annual,0.57
TUU10101AA01000865,Avg hrs per day - Housework,2016,A01,2016 Annual,0.57
TUU10101AA01000865,Avg hrs per day - Housework,2017,A01,2017 Annual,0.55
TUU10101AA01000865,Avg hrs per day - Housework,2018,A01,2018 Annual,0.55
TUU10101AA01000865,Avg hrs per day - Housework,2019,A01,2019 Annual,0.53
TUU10101AA01000865,Avg hrs per day - Housework,2020,A01,2020 Annual,-
TUU10101AA01000865,Avg hrs per day - Housework,2021,A01,2021 Annual,0.58
TUU10101AA01000944,"Avg hrs per day - Housework, Men",2003,A01,2003 Annual,0.23
TUU10101AA01000944,"Avg hrs per day - Housework, Men",2004,A01,2004 Annual,0.23
TUU10101AA01000944,"Avg hrs per day - Housework, Men",2005,A01,2005 Annual,0.23
TUU10101AA01000944,"Avg hrs per day - Housework, Men",2006,A01,2006 Annual,0.25
TUU10101AA01000944,"Avg hrs per day - Housework, Men",2007,A01,2007 Annual,0.29
TUU10101AA01000944,"Avg hrs per day - Housework, Men",2008,A01,2008 Annual,0.24
TUU10101AA01000944,"Avg hrs per day - Housework, Men",2009,A01,2009 Annual,0.26
TUU10101AA01000944,"Avg hrs per day - Housework, Men",2010,A01,2010 Annual,0.26
TUU10101AA01000944,"Avg hrs per day - Housework, Men",2011,A01,2011 Annual,0.27
TUU10101AA01000944,"Avg hrs per day - Housework, Men",2012,A01,2012 Annual,0.28
TUU10101AA01000944,"Avg hrs per day - Housework, Men",2013,A01,2013 Annual,0.25
TUU10101AA01000944,"Avg hrs per day - Housework, Men",2014,A01,2014 Annual,0.27
TUU10101AA01000944,"Avg hrs per day - Housework, Men",2015,A01,2015 Annual,0.26
TUU10101AA01000944,"Avg hrs per day - Housework, Men",2016,A01,2016 Annual,0.26
TUU10101AA01000944,"Avg hrs per day - Housework, Men",2017,A01,2017 Annual,0.23
TUU10101AA01000944,"Avg hrs per day - Housework, Men",2018,A01,2018 Annual,0.24
TUU10101AA01000944,"Avg hrs per day - Housework, Men",2019,A01,2019 Annual,0.27
TUU10101AA01000944,"Avg hrs per day - Housework, Men",2020,A01,2020 Annual,-
TUU10101AA01000944,"Avg hrs per day - Housework, Men",2021,A01,2021 Annual,0.3
TUU10101AA01001023,"Avg hrs per day - Housework, Women",2003,A01,2003 Annual,0.97
TUU10101AA01001023,"Avg hrs per day - Housework, Women",2004,A01,2004 Annual,0.93
TUU10101AA01001023,"Avg hrs per day - Housework, Women",2005,A01,2005 Annual,0.97
TUU10101AA01001023,"Avg hrs per day - Housework, Women",2006,A01,2006 Annual,0.95
TUU10101AA01001023,"Avg hrs per day - Housework, Women",2007,A01,2007 Annual,0.97
TUU10101AA01001023,"Avg hrs per day - Housework, Women",2008,A01,2008 Annual,0.9
TUU10101AA01001023,"Avg hrs per day - Housework, Women",2009,A01,2009 Annual,0.92
TUU10101AA01001023,"Avg hrs per day - Housework, Women",2010,A01,2010 Annual,0.87
TUU10101AA01001023,"Avg hrs per day - Housework, Women",2011,A01,2011 Annual,0.87
TUU10101AA01001023,"Avg hrs per day - Housework, Women",2012,A01,2012 Annual,0.9
TUU10101AA01001023,"Avg hrs per day - Housework, Women",2013,A01,2013 Annual,0.87
TUU10101AA01001023,"Avg hrs per day - Housework, Women",2014,A01,2014 Annual,0.82
TUU10101AA01001023,"Avg hrs per day - Housework, Women",2015,A01,2015 Annual,0.86
TUU10101AA01001023,"Avg hrs per day - Housework, Women",2016,A01,2016 Annual,0.87
TUU10101AA01001023,"Avg hrs per day - Housework, Women",2017,A01,2017 Annual,0.85
TUU10101AA01001023,"Avg hrs per day - Housework, Women",2018,A01,2018 Annual,0.83
TUU10101AA01001023,"Avg hrs per day - Housework, Women",2019,A01,2019 Annual,0.78
TUU10101AA01001023,"Avg hrs per day - Housework, Women",2020,A01,2020 Annual,-
TUU10101AA01001023,"Avg hrs per day - Housework, Women",2021,A01,2021 Annual,0.84
TUU10101AA01001102,Avg hrs per day - Food preparation and cleanup,2003,A01,2003 Annual,0.53
TUU10101AA01001102,Avg hrs per day - Food preparation and cleanup,2004,A01,2004 Annual,0.52
TUU10101AA01001102,Avg hrs per day - Food preparation and cleanup,2005,A01,2005 Annual,0.51
TUU10101AA01001102,Avg hrs per day - Food preparation and cleanup,2006,A01,2006 Annual,0.53
TUU10101AA01001102,Avg hrs per day - Food preparation and cleanup,2007,A01,2007 Annual,0.52
TUU10101AA01001102,Avg hrs per day - Food preparation and cleanup,2008,A01,2008 Annual,0.52
TUU10101AA01001102,Avg hrs per day - Food preparation and cleanup,2009,A01,2009 Annual,0.54
TUU10101AA01001102,Avg hrs per day - Food preparation and cleanup,2010,A01,2010 Annual,0.56
TUU10101AA01001102,Avg hrs per day - Food preparation and cleanup,2011,A01,2011 Annual,0.56
TUU10101AA01001102,Avg hrs per day - Food preparation and cleanup,2012,A01,2012 Annual,0.53
TUU10101AA01001102,Avg hrs per day - Food preparation and cleanup,2013,A01,2013 Annual,0.57
TUU10101AA01001102,Avg hrs per day - Food preparation and cleanup,2014,A01,2014 Annual,0.59
TUU10101AA01001102,Avg hrs per day - Food preparation and cleanup,2015,A01,2015 Annual,0.6
TUU10101AA01001102,Avg hrs per day - Food preparation and cleanup,2016,A01,2016 Annual,0.59
TUU10101AA01001102,Avg hrs per day - Food preparation and cleanup,2017,A01,2017 Annual,0.6
TUU10101AA01001102,Avg hrs per day - Food preparation and cleanup,2018,A01,2018 Annual,0.59
TUU10101AA01001102,Avg hrs per day - Food preparation and cleanup,2019,A01,2019 Annual,0.6
TUU10101AA01001102,Avg hrs per day - Food preparation and cleanup,2020,A01,2020 Annual,-
TUU10101AA01001102,Avg hrs per day - Food preparation and cleanup,2021,A01,2021 Annual,0.64
TUU10101AA01001181,"Avg hrs per day - Food preparation and cleanup, Men",2003,A01,2003 Annual,0.26
TUU10101AA01001181,"Avg hrs per day - Food preparation and cleanup, Men",2004,A01,2004 Annual,0.26
TUU10101AA01001181,"Avg hrs per day - Food preparation and cleanup, Men",2005,A01,2005 Annual,0.26
TUU10101AA01001181,"Avg hrs per day - Food preparation and cleanup, Men",2006,A01,2006 Annual,0.29
TUU10101AA01001181,"Avg hrs per day - Food preparation and cleanup, Men",2007,A01,2007 Annual,0.28
TUU10101AA01001181,"Avg hrs per day - Food preparation and cleanup, Men",2008,A01,2008 Annual,0.3
TUU10101AA01001181,"Avg hrs per day - Food preparation and cleanup, Men",2009,A01,2009 Annual,0.29
TUU10101AA01001181,"Avg hrs per day - Food preparation and cleanup, Men",2010,A01,2010 Annual,0.32
TUU10101AA01001181,"Avg hrs per day - Food preparation and cleanup, Men",2011,A01,2011 Annual,0.31
TUU10101AA01001181,"Avg hrs per day - Food preparation and cleanup, Men",2012,A01,2012 Annual,0.28
TUU10101AA01001181,"Avg hrs per day - Food preparation and cleanup, Men",2013,A01,2013 Annual,0.33
TUU10101AA01001181,"Avg hrs per day - Food preparation and cleanup, Men",2014,A01,2014 Annual,0.34
TUU10101AA01001181,"Avg hrs per day - Food preparation and cleanup, Men",2015,A01,2015 Annual,0.35
TUU10101AA01001181,"Avg hrs per day - Food preparation and cleanup, Men",2016,A01,2016 Annual,0.35
TUU10101AA01001181,"Avg hrs per day - Food preparation and cleanup, Men",2017,A01,2017 Annual,0.36
TUU10101AA01001181,"Avg hrs per day - Food preparation and cleanup, Men",2018,A01,2018 Annual,0.37
TUU10101AA01001181,"Avg hrs per day - Food preparation and cleanup, Men",2019,A01,2019 Annual,0.39
TUU10101AA01001181,"Avg hrs per day - Food preparation and cleanup, Men",2020,A01,2020 Annual,-
TUU10101AA01001181,"Avg hrs per day - Food preparation and cleanup, Men",2021,A01,2021 Annual,0.42
TUU10101AA01001260,"Avg hrs per day - Food preparation and cleanup, Women",2003,A01,2003 Annual,0.79
TUU10101AA01001260,"Avg hrs per day - Food preparation and cleanup, Women",2004,A01,2004 Annual,0.76
TUU10101AA01001260,"Avg hrs per day - Food preparation and cleanup, Women",2005,A01,2005 Annual,0.75
TUU10101AA01001260,"Avg hrs per day - Food preparation and cleanup, Women",2006,A01,2006 Annual,0.75
TUU10101AA01001260,"Avg hrs per day - Food preparation and cleanup, Women",2007,A01,2007 Annual,0.74
TUU10101AA01001260,"Avg hrs per day - Food preparation and cleanup, Women",2008,A01,2008 Annual,0.73
TUU10101AA01001260,"Avg hrs per day - Food preparation and cleanup, Women",2009,A01,2009 Annual,0.77
TUU10101AA01001260,"Avg hrs per day - Food preparation and cleanup, Women",2010,A01,2010 Annual,0.79
TUU10101AA01001260,"Avg hrs per day - Food preparation and cleanup, Women",2011,A01,2011 Annual,0.79
TUU10101AA01001260,"Avg hrs per day - Food preparation and cleanup, Women",2012,A01,2012 Annual,0.75
TUU10101AA01001260,"Avg hrs per day - Food preparation and cleanup, Women",2013,A01,2013 Annual,0.8
TUU10101AA01001260,"Avg hrs per day - Food preparation and cleanup, Women",2014,A01,2014 Annual,0.82
TUU10101AA01001260,"Avg hrs per day - Food preparation and cleanup, Women",2015,A01,2015 Annual,0.83
TUU10101AA01001260,"Avg hrs per day - Food preparation and cleanup, Women",2016,A01,2016 Annual,0.82
TUU10101AA01001260,"Avg hrs per day - Food preparation and cleanup, Women",2017,A01,2017 Annual,0.83
TUU10101AA01001260,"Avg hrs per day - Food preparation and cleanup, Women",2018,A01,2018 Annual,0.8
TUU10101AA01001260,"Avg hrs per day - Food preparation and cleanup, Women",2019,A01,2019 Annual,0.79
TUU10101AA01001260,"Avg hrs per day - Food preparation and cleanup, Women",2020,A01,2020 Annual,-
TUU10101AA01001260,"Avg hrs per day - Food preparation and cleanup, Women",2021,A01,2021 Annual,0.86
TUU10101AA01002864,"Avg hrs per day - Working, Employed",2003,A01,2003 Annual,5.12
TUU10101AA01002864,"Avg hrs per day - Working, Employed",2004,A01,2004 Annual,5.19
TUU10101AA01002864,"Avg hrs per day - Working, Employed",2005,A01,2005 Annual,5.11
TUU10101AA01002864,"Avg hrs per day - Working, Employed",2006,A01,2006 Annual,5.23
TUU10101AA01002864,"Avg hrs per day - Working, Employed",2007,A01,2007 Annual,5.26
TUU10101AA01002864,"Avg hrs per day - Working, Employed",2008,A01,2008 Annual,5.16
TUU10101AA01002864,"Avg hrs per day - Working, Employed",2009,A01,2009 Annual,5.1
TUU10101AA01002864,"Avg hrs per day - Working, Employed",2010,A01,2010 Annual,5.12
TUU10101AA01002864,"Avg hrs per day - Working, Employed",2011,A01,2011 Annual,5.2
TUU10101AA01002864,"Avg hrs per day - Working, Employed",2012,A01,2012 Annual,5.21
TUU10101AA01002864,"Avg hrs per day - Working, Employed",2013,A01,2013 Annual,5.15
TUU10101AA01002864,"Avg hrs per day - Working, Employed",2014,A01,2014 Annual,5.33
TUU10101AA01002864,"Avg hrs per day - Working, Employed",2015,A01,2015 Annual,5.17
TUU10101AA01002864,"Avg hrs per day - Working, Employed",2016,A01,2016 Annual,5.22
TUU10101AA01002864,"Avg hrs per day - Working, Employed",2017,A01,2017 Annual,5.17
TUU10101AA01002864,"Avg hrs per day - Working, Employed",2018,A01,2018 Annual,5.11
TUU10101AA01002864,"Avg hrs per day - Working, Employed",2019,A01,2019 Annual,5.16
TUU10101AA01002864,"Avg hrs per day - Working, Employed",2020,A01,2020 Annual,-
TUU10101AA01002864,"Avg hrs per day - Working, Employed",2021,A01,2021 Annual,5.25
TUU10101AA01002867,"Avg hrs per day - Working, Employed, on days worked",2003,A01,2003 Annual,7.58
TUU10101AA01002867,"Avg hrs per day - Working, Employed, on days worked",2004,A01,2004 Annual,7.61
TUU10101AA01002867,"Avg hrs per day - Working, Employed, on days worked",2005,A01,2005 Annual,7.54
TUU10101AA01002867,"Avg hrs per day - Working, Employed, on days worked",2006,A01,2006 Annual,7.6
TUU10101AA01002867,"Avg hrs per day - Working, Employed, on days worked",2007,A01,2007 Annual,7.57
TUU10101AA01002867,"Avg hrs per day - Working, Employed, on days worked",2008,A01,2008 Annual,7.59
TUU10101AA01002867,"Avg hrs per day - Working, Employed, on days worked",2009,A01,2009 Annual,7.48
TUU10101AA01002867,"Avg hrs per day - Working, Employed, on days worked",2010,A01,2010 Annual,7.5
TUU10101AA01002867,"Avg hrs per day - Working, Employed, on days worked",2011,A01,2011 Annual,7.64
TUU10101AA01002867,"Avg hrs per day - Working, Employed, on days worked",2012,A01,2012 Annual,7.65
TUU10101AA01002867,"Avg hrs per day - Working, Employed, on days worked",2013,A01,2013 Annual,7.58
TUU10101AA01002867,"Avg hrs per day - Working, Employed, on days worked",2014,A01,2014 Annual,7.75
TUU10101AA01002867,"Avg hrs per day - Working, Employed, on days worked",2015,A01,2015 Annual,7.6
TUU10101AA01002867,"Avg hrs per day - Working, Employed, on days worked",2016,A01,2016 Annual,7.63
TUU10101AA01002867,"Avg hrs per day - Working, Employed, on days worked",2017,A01,2017 Annual,7.69
TUU10101AA01002867,"Avg hrs per day - Working, Employed, on days worked",2018,A01,2018 Annual,7.62
TUU10101AA01002867,"Avg hrs per day - Working, Employed, on days worked",2019,A01,2019 Annual,7.62
TUU10101AA01002867,"Avg hrs per day - Working, Employed, on days worked",2020,A01,2020 Annual,-
TUU10101AA01002867,"Avg hrs per day - Working, Employed, on days worked",2021,A01,2021 Annual,7.75
TUU10101AA01006315,Avg hrs per day - Reading for personal interest,2003,A01,2003 Annual,0.36
TUU10101AA01006315,Avg hrs per day - Reading for personal interest,2004,A01,2004 Annual,0.38
TUU10101AA01006315,Avg hrs per day - Reading for personal interest,2005,A01,2005 Annual,0.38
TUU10101AA01006315,Avg hrs per day - Reading for personal interest,2006,A01,2006 Annual,0.36
TUU10101AA01006315,Avg hrs per day - Reading for personal interest,2007,A01,2007 Annual,0.35
TUU10101AA01006315,Avg hrs per day - Reading for personal interest,2008,A01,2008 Annual,0.34
TUU10101AA01006315,Avg hrs per day - Reading for personal interest,2009,A01,2009 Annual,0.34
TUU10101AA01006315,Avg hrs per day - Reading for personal interest,2010,A01,2010 Annual,0.3
TUU10101AA01006315,Avg hrs per day - Reading for personal interest,2011,A01,2011 Annual,0.3
TUU10101AA01006315,Avg hrs per day - Reading for personal interest,2012,A01,2012 Annual,0.33
TUU10101AA01006315,Avg hrs per day - Reading for personal interest,2013,A01,2013 Annual,0.32
TUU10101AA01006315,Avg hrs per day - Reading for personal interest,2014,A01,2014 Annual,0.32
TUU10101AA01006315,Avg hrs per day - Reading for personal interest,2015,A01,2015 Annual,0.32
TUU10101AA01006315,Avg hrs per day - Reading for personal interest,2016,A01,2016 Annual,0.29
TUU10101AA01006315,Avg hrs per day - Reading for personal interest,2017,A01,2017 Annual,0.28
TUU10101AA01006315,Avg hrs per day - Reading for personal interest,2018,A01,2018 Annual,0.26
TUU10101AA01006315,Avg hrs per day - Reading for personal interest,2019,A01,2019 Annual,0.27
TUU10101AA01006315,Avg hrs per day - Reading for personal interest,2020,A01,2020 Annual,-
TUU10101AA01006315,Avg hrs per day - Reading for personal interest,2021,A01,2021 Annual,0.28
TUU10101AA01009381,Avg hrs per day - Household activities (includes travel),2003,A01,2003 Annual,1.83
TUU10101AA01009381,Avg hrs per day - Household activities (includes travel),2004,A01,2004 Annual,1.81
TUU10101AA01009381,Avg hrs per day - Household activities (includes travel),2005,A01,2005 Annual,1.83
TUU10101AA01009381,Avg hrs per day - Household activities (includes travel),2006,A01,2006 Annual,1.79
TUU10101AA01009381,Avg hrs per day - Household activities (includes travel),2007,A01,2007 Annual,1.84
TUU10101AA01009381,Avg hrs per day - Household activities (includes travel),2008,A01,2008 Annual,1.73
TUU10101AA01009381,Avg hrs per day - Household activities (includes travel),2009,A01,2009 Annual,1.8
TUU10101AA01009381,Avg hrs per day - Household activities (includes travel),2010,A01,2010 Annual,1.79
TUU10101AA01009381,Avg hrs per day - Household activities (includes travel),2011,A01,2011 Annual,1.77
TUU10101AA01009381,Avg hrs per day - Household activities (includes travel),2012,A01,2012 Annual,1.74
TUU10101AA01009381,Avg hrs per day - Household activities (includes travel),2013,A01,2013 Annual,1.78
TUU10101AA01009381,Avg hrs per day - Household activities (includes travel),2014,A01,2014 Annual,1.77
TUU10101AA01009381,Avg hrs per day - Household activities (includes travel),2015,A01,2015 Annual,1.84
TUU10101AA01009381,Avg hrs per day - Household activities (includes travel),2016,A01,2016 Annual,1.82
TUU10101AA01009381,Avg hrs per day - Household activities (includes travel),2017,A01,2017 Annual,1.81
TUU10101AA01009381,Avg hrs per day - Household activities (includes travel),2018,A01,2018 Annual,1.78
TUU10101AA01009381,Avg hrs per day - Household activities (includes travel),2019,A01,2019 Annual,1.78
TUU10101AA01009381,Avg hrs per day - Household activities (includes travel),2020,A01,2020 Annual,-
TUU10101AA01009381,Avg hrs per day - Household activities (includes travel),2021,A01,2021 Annual,1.95
TUU10101AA01013237,Avg hrs per day - Eating and drinking (includes travel),2003,A01,2003 Annual,1.21
TUU10101AA01013237,Avg hrs per day - Eating and drinking (includes travel),2004,A01,2004 Annual,1.24
TUU10101AA01013237,Avg hrs per day - Eating and drinking (includes travel),2005,A01,2005 Annual,1.24
TUU10101AA01013237,Avg hrs per day - Eating and drinking (includes travel),2006,A01,2006 Annual,1.23
TUU10101AA01013237,Avg hrs per day - Eating and drinking (includes travel),2007,A01,2007 Annual,1.24
TUU10101AA01013237,Avg hrs per day - Eating and drinking (includes travel),2008,A01,2008 Annual,1.23
TUU10101AA01013237,Avg hrs per day - Eating and drinking (includes travel),2009,A01,2009 Annual,1.22
TUU10101AA01013237,Avg hrs per day - Eating and drinking (includes travel),2010,A01,2010 Annual,1.25
TUU10101AA01013237,Avg hrs per day - Eating and drinking (includes travel),2011,A01,2011 Annual,1.24
TUU10101AA01013237,Avg hrs per day - Eating and drinking (includes travel),2012,A01,2012 Annual,1.25
TUU10101AA01013237,Avg hrs per day - Eating and drinking (includes travel),2013,A01,2013 Annual,1.23
TUU10101AA01013237,Avg hrs per day - Eating and drinking (includes travel),2014,A01,2014 Annual,1.17
TUU10101AA01013237,Avg hrs per day - Eating and drinking (includes travel),2015,A01,2015 Annual,1.18
TUU10101AA01013237,Avg hrs per day - Eating and drinking (includes travel),2016,A01,2016 Annual,1.17
TUU10101AA01013237,Avg hrs per day - Eating and drinking (includes travel),2017,A01,2017 Annual,1.18
TUU10101AA01013237,Avg hrs per day - Eating and drinking (includes travel),2018,A01,2018 Annual,1.19
TUU10101AA01013237,Avg hrs per day - Eating and drinking (includes travel),2019,A01,2019 Annual,1.18
TUU10101AA01013237,Avg hrs per day - Eating and drinking (includes travel),2020,A01,2020 Annual,-
TUU10101AA01013237,Avg hrs per day - Eating and drinking (includes travel),2021,A01,2021 Annual,1.19
TUU10101AA01013585,Avg hrs per day - Leisure and sports (includes travel),2003,A01,2003 Annual,5.11
TUU10101AA01013585,Avg hrs per day - Leisure and sports (includes travel),2004,A01,2004 Annual,5.19
TUU10101AA01013585,Avg hrs per day - Leisure and sports (includes travel),2005,A01,2005 Annual,5.13
TUU10101AA01013585,Avg hrs per day - Leisure and sports (includes travel),2006,A01,2006 Annual,5.09
TUU10101AA01013585,Avg hrs per day - Leisure and sports (includes travel),2007,A01,2007 Annual,5.11
TUU10101AA01013585,Avg hrs per day - Leisure and sports (includes travel),2008,A01,2008 Annual,5.18
TUU10101AA01013585,Avg hrs per day - Leisure and sports (includes travel),2009,A01,2009 Annual,5.25
TUU10101AA01013585,Avg hrs per day - Leisure and sports (includes travel),2010,A01,2010 Annual,5.18
TUU10101AA01013585,Avg hrs per day - Leisure and sports (includes travel),2011,A01,2011 Annual,5.21
TUU10101AA01013585,Avg hrs per day - Leisure and sports (includes travel),2012,A01,2012 Annual,5.37
TUU10101AA01013585,Avg hrs per day - Leisure and sports (includes travel),2013,A01,2013 Annual,5.26
TUU10101AA01013585,Avg hrs per day - Leisure and sports (includes travel),2014,A01,2014 Annual,5.3
TUU10101AA01013585,Avg hrs per day - Leisure and sports (includes travel),2015,A01,2015 Annual,5.21
TUU10101AA01013585,Avg hrs per day - Leisure and sports (includes travel),2016,A01,2016 Annual,5.13
TUU10101AA01013585,Avg hrs per day - Leisure and sports (includes travel),2017,A01,2017 Annual,5.24
TUU10101AA01013585,Avg hrs per day - Leisure and sports (includes travel),2018,A01,2018 Annual,5.27
TUU10101AA01013585,Avg hrs per day - Leisure and sports (includes travel),2019,A01,2019 Annual,5.19
TUU10101AA01013585,Avg hrs per day - Leisure and sports (includes travel),2020,A01,2020 Annual,-
TUU10101AA01013585,Avg hrs per day - Leisure and sports (includes travel),2021,A01,2021 Annual,5.27
TUU10101AA01013951,Avg hrs per day - Socializing and communicating,2003,A01,2003 Annual,0.78
TUU10101AA01013951,Avg hrs per day - Socializing and communicating,2004,A01,2004 Annual,0.76
TUU10101AA01013951,Avg hrs per day - Socializing and communicating,2005,A01,2005 Annual,0.75
TUU10101AA01013951,Avg hrs per day - Socializing and communicating,2006,A01,2006 Annual,0.76
TUU10101AA01013951,Avg hrs per day - Socializing and communicating,2007,A01,2007 Annual,0.73
TUU10101AA01013951,Avg hrs per day - Socializing and communicating,2008,A01,2008 Annual,0.71
TUU10101AA01013951,Avg hrs per day - Socializing and communicating,2009,A01,2009 Annual,0.7
TUU10101AA01013951,Avg hrs per day - Socializing and communicating,2010,A01,2010 Annual,0.7
TUU10101AA01013951,Avg hrs per day - Socializing and communicating,2011,A01,2011 Annual,0.7
TUU10101AA01013951,Avg hrs per day - Socializing and communicating,2012,A01,2012 Annual,0.74
TUU10101AA01013951,Avg hrs per day - Socializing and communicating,2013,A01,2013 Annual,0.72
TUU10101AA01013951,Avg hrs per day - Socializing and communicating,2014,A01,2014 Annual,0.71
TUU10101AA01013951,Avg hrs per day - Socializing and communicating,2015,A01,2015 Annual,0.68
TUU10101AA01013951,Avg hrs per day - Socializing and communicating,2016,A01,2016 Annual,0.65
TUU10101AA01013951,Avg hrs per day - Socializing and communicating,2017,A01,2017 Annual,0.65
TUU10101AA01013951,Avg hrs per day - Socializing and communicating,2018,A01,2018 Annual,0.64
TUU10101AA01013951,Avg hrs per day - Socializing and communicating,2019,A01,2019 Annual,0.64
TUU10101AA01013951,Avg hrs per day - Socializing and communicating,2020,A01,2020 Annual,-
TUU10101AA01013951,Avg hrs per day - Socializing and communicating,2021,A01,2021 Annual,0.57
TUU10101AA01014236,Avg hrs per day - Watching TV,2003,A01,2003 Annual,2.58
TUU10101AA01014236,Avg hrs per day - Watching TV,2004,A01,2004 Annual,2.65
TUU10101AA01014236,Avg hrs per day - Watching TV,2005,A01,2005 Annual,2.58
TUU10101AA01014236,Avg hrs per day - Watching TV,2006,A01,2006 Annual,2.58
TUU10101AA01014236,Avg hrs per day - Watching TV,2007,A01,2007 Annual,2.62
TUU10101AA01014236,Avg hrs per day - Watching TV,2008,A01,2008 Annual,2.77
TUU10101AA01014236,Avg hrs per day - Watching TV,2009,A01,2009 Annual,2.82
TUU10101AA01014236,Avg hrs per day - Watching TV,2010,A01,2010 Annual,2.73
TUU10101AA01014236,Avg hrs per day - Watching TV,2011,A01,2011 Annual,2.75
TUU10101AA01014236,Avg hrs per day - Watching TV,2012,A01,2012 Annual,2.83
TUU10101AA01014236,Avg hrs per day - Watching TV,2013,A01,2013 Annual,2.77
TUU10101AA01014236,Avg hrs per day - Watching TV,2014,A01,2014 Annual,2.82
